,Start Date
SPXT US Equity,2015-09-24
BCOMTR Index,1960-01-04
HFRIFWI Index,1990-01-01
LBUSTRUU Index,1976-01-30
LG30TRUU Index,1990-01-31
LMBITR Index,1980-01-31
NDDUE15X Index,1969-12-31
NDDUJN Index,1969-12-31
NDDUNA Index,1998-12-31
NDDUPXJ Index,1998-12-31
NDDUUK Index,1969-12-31
NDDUWXUS Index,1969-12-31
NDUEEGF Index,1998-12-31
RU10GRTR Index,1978-12-29
RU10VATR Index,1979-01-31
RU20GRTR Index,1979-01-31
RU20INTR Index,1978-12-29
RU20VATR Index,1979-01-31
RUMCINTR Index,1979-01-30
RUMRINTR Index,2000-06-30
RUTPINTR Index,1979-01-31
S5COND Index,1989-09-11
S5CONS Index,1989-09-11
S5ENRS Index,1989-09-11
S5FINL Index,1989-09-11
S5HLTH Index,1989-09-11
S5INDU Index,1989-09-11
S5INFT Index,1989-09-11
S5MATR Index,1989-09-11
S5RLST Index,2001-10-09
S5TELS Index,1989-09-11
S5UTIL Index,1989-09-11
IBXXSHY1 Index,2010-04-30
IDCT20RT Index,2016-04-29
LC07TRUU Index,1990-01-31
LD01TRUU Index,1990-11-30
LT01TRUU Index,1992-01-31
LUICTRUU Index,1973-01-31
LULCTRUU Index,1973-01-31
M1CXBRU Index,1994-05-31
M1USMVOL Index,1988-05-31
M2US000$ Index,1974-12-31
M2USEV Index,1997-11-28
M2USRWGT Index,1979-11-30
M2USSNQ Index,1998-11-30
MID Index,1990-12-31
MXEA Index,1969-12-31
MXEF Index,1987-12-31
MXUSMVOL Index,1988-05-31
MXWD Index,1987-12-31
MXWOUIM Index,1994-05-31
NDDUUS Index,1969-12-31
SPX Index,1927-12-30
